id	dataset_id	institution_code	collection_code	catalog_number	basis_of_record	scientific_name	scientific_name_author	taxon_id	kingdom	phylum	class	order	family	genus	specific_epithet	kingdom_id	phylum_id	class_id	order_id	family_id	genus_id	species_id	country_code	host_country	latitude	longitude	year	month	event_date	elevation_in_meters	depth_in_meters	verbatim_scientific_name	taxon_rank	verbatim_kingdom	verbatim_phylum	verbatim_class	verbatim_order	verbatim_family	verbatim_genus	verbatim_specific_epithet	verbatim_infraspecific_epithet	verbatim_latitude	verbatim_longitude	coordinate_precision	maximum_elevation_in_meters	minimum_elevation_in_meters	elevation_precision	minimum_depth_in_meters	maximum_depth_in_meters	depth_precision	continent_ocean	state_province	county	country	recorded_by	locality	verbatim_year	verbatim_month	day	verbatim_basis_of_record	identified_by	date_identified	created	modified
438590044	b5cdf794-8fa4-4a85-8b26-755d087bf531	MNHN	P	P01637055	PRESERVED_SPECIMEN	Pinus echinata Mill.	Mill.	5285324	Plantae	Pinophyta	Pinopsida	Pinales	Pinaceae	Pinus	Pinus echinata Mill.	6	101	194	640	3925	2684241	5285324		FR								pinus echinata						pinaceae	pinus	echinata																				PreservedSpecimen			2011-11-11T03:03Z	2013-08-08T20:28Z
346753151	963f12d0-f762-11e1-a439-00145eb45e9a	YPM	BOT	YPM YU 024524	PRESERVED_SPECIMEN	Pinus echinata Mill.	Mill.	5285324	Plantae	Pinophyta	Pinopsida	Pinales	Pinaceae	Pinus	Pinus echinata	6	101	194	640	3925	2684241	5285324		US								Pinus echinata		Plantae	Tracheophyta			Pinaceae	Pinus	echinata																				S			2011-04-26T11:32Z	2013-12-22T20:28Z
321748941	7bd65a7a-f762-11e1-a439-00145eb45e9a	MO	Tropicos	1684986	PRESERVED_SPECIMEN	Pinus echinata Mill.	Mill.	5285324	Plantae	Pinophyta	Pinopsida	Pinales	Pinaceae	Pinus	Pinus echinata Mill.	6	101	194	640	3925	2684241	5285324	US	US			1968	3	1968-03-30T00:00Z			Pinus echinata Mill.						Pinaceae	Pinus	echinata											North America	Missouri	Taney	United States	Dunn, D.B.	Short-leaf pine on rocky ridge with pine on NW brink of ridge, 10 mi S of Branson.	1968	3	30	S			2011-01-14T04:05Z	2011-01-19T08:33Z
321748974	7bd65a7a-f762-11e1-a439-00145eb45e9a	MO	Tropicos	1685399	PRESERVED_SPECIMEN	Pinus echinata Mill.	Mill.	5285324	Plantae	Pinophyta	Pinopsida	Pinales	Pinaceae	Pinus	Pinus echinata Mill.	6	101	194	640	3925	2684241	5285324	US	US			1978	5	1978-05-01T00:00Z			Pinus echinata Mill.						Pinaceae	Pinus	echinata											North America	Arkansas	Stone	United States	Hollis, Elizabeth	Collected in Blanchard Springs Caverns State Park picnic area, N of Hwy 14, 6 mi W of Jct Hwy 5 & 14.	1978	5	1	S			2011-01-14T04:05Z	2011-01-19T08:33Z
623655293	95c938a8-f762-11e1-a439-00145eb45e9a	KU	KANU	156996	UNKNOWN	Pinus echinata Mill.		5285324	Plantae	Pinophyta	Pinopsida	Pinales	Pinaceae	Pinus	Pinus echinata	6	101	194	640	3925	2684241	5285324	US	US	0.0	0.0						Pinus echinata						Pinaceae	Pinus	echinata		0	0								North America	North Carolina	Orange	USA	Robert F Britt	Chapel Hill, 0.75 mi S near Morgan Creek					Robert F Britt		2012-06-16T01:25Z	2013-12-22T19:58Z
623655518	95c938a8-f762-11e1-a439-00145eb45e9a	KU	KANU	157000	UNKNOWN	Pinus echinata Mill.		5285324	Plantae	Pinophyta	Pinopsida	Pinales	Pinaceae	Pinus	Pinus echinata	6	101	194	640	3925	2684241	5285324	US	US	0.0	0.0						Pinus echinata						Pinaceae	Pinus	echinata		0	0								North America	Arkansas	Garland	USA	Virginius H Chase	Ouachita Mtns, near Hot Springs					Virginius H Chase		2012-06-16T01:25Z	2013-12-22T19:58Z
56627786	84f9770e-f762-11e1-a439-00145eb45e9a	UA	UNA	UNA00056940	PRESERVED_SPECIMEN	Pinus echinata Mill.	P. Mill.	5285324	Plantae	Pinophyta	Pinopsida	Pinales	Pinaceae	Pinus	Pinus echinata Mill.	6	101	194	640	3925	2684241	5285324	US	US	32.10472	-86.19334	2000	9	2000-09-07T00:00Z			Pinus echinata P. Mill.		Plantae				Pinaceae	Pinus	echinata		32.10472	-86.19334	1138							North and Central America	Alabama	Montgomery	US	Alvin R. Diamond	Co. Hwy 68 at Chesser Cemetery.  Blackbelt area T13N R19E S18	2000	09	07	S			2007-03-28T12:52Z	2013-01-10T19:11Z
666161256	90c853e6-56bd-480b-8e8f-6285c3f8d42b	F	Botany	1582331	PRESERVED_SPECIMEN	Pinus echinata Mill.		5285324	Plantae	Pinophyta	Pinopsida	Pinales	Pinaceae	Pinus	Pinus echinata Mill.	6	101	194	640	3925	2684241	5285324	US	US	38.0	-98.0						Pinus echinata Mill.		Plantae	Spermatophyta	Pinopsida		Pinaceae	Pinus	echinata		38.0000	-98.0000								North America			U.S.A.	H. A. Allard					PreservedSpecimen			2012-07-17T16:07Z	2013-06-04T18:43Z
187555783	56e9c560-bd2a-11dd-b15e-b8a03c50a862	LSU	Herbarium	23994	UNKNOWN	Pinus echinata Mill.	P. Mill.	5285324	Plantae	Pinophyta	Pinopsida	Pinales	Pinaceae	Pinus	Pinus echinata Mill.	6	101	194	640	3925	2684241	5285324	US	US	32.6	-92.65				0	0	Pinus echinata P. Mill.						Pinaceae	Pinus	echinata		32.5999984741	-92.6500015259	0.000	0.000	0.000		0.000	0.000		North America	Louisiana	Lincoln Parish	USA	Hebert, Steve J.	Vienna				Plant		0002-11-30T00:00Z	2008-12-02T11:28Z	2009-08-27T18:29Z
200356098	0943f690-fde5-11dd-83f4-b8a03c50a862	S	S-Vascular	S-C-2667	PRESERVED_SPECIMEN	Pinus echinata Mill.	Mill.	5285324	Plantae	Pinophyta	Pinopsida	Pinales	Pinaceae	Pinus	Pinus echinata	6	101	194	640	3925	2684241	5285324	US	SE			1960	2	1960-02-23T00:00Z			Pinus echinata Mill.		Plantae					Pinus	echinata											NORTH AMERICA	North Carolina		United States	H. E. Ahles & J. G. Haeslop	USA, North Carolina, Orange Co., W of Carrboro, vicinity of University Lake				S			2009-02-23T18:07Z	2013-12-20T10:56Z
