gbif	canonical	genus_jw	se_jw	gswitch	fuzzy	bothwfo	suspect	spelling_alternative	remove
Picea omorica	Picea omorika	1	0.942857142857143	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
Picea koyamae	Picea koyamai	1	0.942857142857143	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
Psidium guayana	Psidium guayava	1	0.942857142857143	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
Strophostyles helvula	Strophostyles helvola	1	0.942857142857143	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
Taxus baccata var. aurea	Taxus baccata var. lutea	1	0.943055555555556	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
Campanula patula var. patula	Campanula patula var. parva	1	0.943137254901961	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
Actinostemon concolor var. concolor	Actinostemon concolor var. bicolor	1	0.94315333789018	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
Bromus erectus var. genuinus	Bromus erectus var. velutinus	1	0.94315333789018	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
Poa annua var. longiglumis	Poa annua var. raniglumis	1	0.94315333789018	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
Heracleum sphondylium f. angustifolium	Heracleum sphondylium var. angustifolium	1	0.943227513227513	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE
Arodes aethiopicum	Arodes aethiopica	1	0.943636363636364	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE
Avena longepilosa	Avena longipilosa	1	0.943636363636364	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
Biscutella megacarpea	Biscutella megalocarpa	1	0.943636363636364	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
Epilboium adenocaulon	Epilobium adenocladon	0.977777777777778	0.943636363636364	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
Erodium sabulicola	Erodium sabulicolum	1	0.943636363636364	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE
Fagus grandiflora	Fagus grandifolia	1	0.943636363636364	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
Fallopia convolvolus	Fallopia convolvulus	1	0.943636363636364	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
Gleditschia triacantha	Gleditschia triacanthos	1	0.943636363636364	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
Gnaphalium einseleana	Gnaphalium einseleanum	1	0.943636363636364	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE
Leptilon bonariensis	Leptilon bonariense	1	0.943636363636364	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE
Microrhynchus sarmentosa	Microrhynchus sarmentosus	1	0.943636363636364	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE
Nertera granadense	Nertera granadensis	1	0.943636363636364	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE
Odontites longifolia	Odontites longifolius	1	0.943636363636364	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE
Onobrychis viciaefolia	Onobrychis viciifolia	1	0.943636363636364	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
Polygonum convolvolus	Polygonum convolvulus	1	0.943636363636364	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
Scorpiurus subvillosus	Scorpiurus subvillosa	1	0.943636363636364	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE
Syntherisma longiflora	Syntherisma longiflorum	1	0.943636363636364	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE
Turczaninovia fastigiatus	Turczaninovia fastigiata	1	0.943636363636364	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE
Ambrosia artemisiaefolia	Ambrosia artemisiifolia	1	0.943663003663004	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
Ranunculus scleratus	Ranunculus sceleratus	1	0.943703703703704	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
Trillium delicatum	Trillium declinatum	1	0.943703703703704	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
Hordeum vulgare var. erectum	Hordeum vulgare var. suberectum	1	0.943913043478261	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
Lilium martagon f. album	Lilium martagon var. album	1	0.944156346749226	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE
Elsholtzia cyprianii var. longipilosa	Elsholtzia cypriani var. longipilosa	1	0.944307692307692	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
Arthraxon hispidus f. japonicus	Arthraxon hispidus var. japonicus	1	0.944389233954451	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE
Carex stricta f. curtissima	Carex stricta var. curtissima	1	0.944389233954451	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE
Cucumis sativus f. hardwickii	Cucumis sativus var. hardwickii	1	0.944389233954451	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE
Lolium temulentum f. arvense	Lolium temulentum var. arvense	1	0.944389233954451	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE
Centaurea bovina	Centaurea ovina	1	0.944444444444444	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
Potamogeton xzizii	Potamogeton zizii	1	0.944444444444444	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
Aegilops triuncialis f. flavescens	Aegilops triuncialis var. flavescens	1	0.944777777777778	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE
Potamogeton pectinatus f. interruptus	Potamogeton pectinatus var. interruptus	1	0.944777777777778	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE
Deschampsia caespitosa subsp. orientalis	Deschampsia cespitosa subsp. orientalis	1	0.94484126984127	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE
Hieracium subnudum	Hieracium subaundum	1	0.944907407407407	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
Ranunculus boreanus	Ranunculus boraeanus	1	0.944907407407407	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
Saponaria oxyodonta	Saponaria oxydonta	1	0.944907407407407	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
Barbarea vulgaris var. rivularis	Barbarea vulgaris var. vulgaris	1	0.944946357989836	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
Hesperis matronalis subsp. cilicica	Hesperis matronalis subsp. sibirica	1	0.945150501672241	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
