"gbif","myco","genus_jw","se_jw","gswitch","bothtpl","suspect","remove","manual.remove"
"Rubus rudifolius","Rubus rudiformis",1,0.9466666667,"False","FALSE","TRUE","FALSE",1
"Rubus rorulentus","Rubus rosulentus",1,0.9466666667,"False","FALSE","TRUE","FALSE",1
"Senecio remifolius","Senecio renifolius",1,0.9466666667,"False","FALSE","TRUE","FALSE",1
"Juncus lamprocarpus","Juncus lampocarpus",1,0.946969697,"False","FALSE","TRUE","FALSE",1
"Silene involuta","Silene involucrata",1,0.946969697,"False","FALSE","TRUE","FALSE",1
"Hieracium duderhultense","Hieracium duderhofense",1,0.947008547,"False","FALSE","TRUE","FALSE",1
"Hieracium macrocoelium","Hieracium macrochaetium",1,0.947008547,"False","FALSE","TRUE","FALSE",1
"Rosa semperflorens","Rosa sempervirens",1,0.947008547,"False","FALSE","TRUE","FALSE",1
"Syngonium gracilis","Syngonium gracile",1,0.9476190476,"False","FALSE","TRUE","FALSE",1
"Bupleurum petiolatum","Bupleurum petiolare",1,0.9477777778,"False","FALSE","TRUE","FALSE",1
"Rosa aciculata","Rosa acicularis",1,0.9477777778,"False","FALSE","TRUE","FALSE",1
"Gentiana townsonii","Gentiana townsendii",1,0.9481481481,"False","FALSE","TRUE","FALSE",1
"Gentiana lacinulata","Gentiana laciniata",1,0.9481481481,"False","FALSE","TRUE","FALSE",1
"Juncus cyperinus","Juncus cyprius",1,0.9481481481,"False","FALSE","TRUE","FALSE",1
"Rubus rosulatus","Rubus rosulentus",1,0.9481481481,"False","FALSE","TRUE","FALSE",1
"Rubus piletosus","Rubus pilosus",1,0.9481481481,"False","FALSE","TRUE","FALSE",1
"Cormonema biglandulosum","Cormonema glandulosum",1,0.9487179487,"False","FALSE","TRUE","FALSE",1
"Rosa cineracea","Rosa cinerascens",1,0.9488215488,"False","FALSE","TRUE","FALSE",1
"Agropyron strictum","Agropyron striatum",1,0.95,"False","FALSE","TRUE","FALSE",1
"Alchemilla aphanoides","Alchemilla aphanes",1,0.95,"False","FALSE","TRUE","FALSE",1
