dlist,elist,genus_jw,se_jw,gender_switch
Byrsonima reticulata,Byrsonima reticulata,1.0,1.0,False
Byttneria peruviana,Byttneria peruviana,1.0,1.0,False
Byttneria tereticaulis,Byttneria tereticaulis,1.0,1.0,False
Byttneria tiliifolia,Byttneria tiliifolia,1.0,1.0,False
Calandrinia grayi,Calandrinia grayi,1.0,1.0,False
Calpurnia lasiogyna,Calpurnia lasiogyne,1.0,0.985185185185,False
Camellia longgangensis,Camellia longgangensis,1.0,1.0,False
Camellia impressinervis,Camellia impressinervis,1.0,1.0,False
Camptothecium paulianum,Camptothecium paulianum,1.0,1.0,False
Capparis subacuta,Capparis subacuta,1.0,1.0,False
Capsicum torulosum,Capsicum torulosum,1.0,1.0,False
Carallia sinensis,Carallia sinensis,1.0,1.0,False
Carallia floribunda,Carallia floribunda,1.0,1.0,False
Carapa guyanensis,Carapa guianensis,1.0,0.946666666667,False
Cardamine soehrensii,Cardamine soehrensii,1.0,1.0,False
Cardamine tetrandra,Cardamine tetrandra,1.0,1.0,False
Cardamine enneaphylla,Cardamine enneaphylla,1.0,1.0,False
Cardiospermum acuminatum,Cardiospermum acuminatum,1.0,1.0,False
Cargillia australis,Cargillia australis,1.0,1.0,False
Carica cundinamarcensis,Carica cundinamarcensis,1.0,1.0,False
Carica peltata,Carica peltata,1.0,1.0,False
Carissa scabra,Carissa scabra,1.0,1.0,False
Carissa praetermissa,Carissa praetermissa,1.0,1.0,False
Carissa densiflora,Carissa densiflora,1.0,1.0,False
Carmichaelia williamsi,Carmichaelia williamsii,1.0,0.996666666667,True
Carum sioides,Carum sioides,1.0,1.0,False
Cassine transvaalensis,Cassine transvaalensis,1.0,1.0,False
Cassine schlechteri,Cassine schlechteri,1.0,1.0,False
Castilleja bradburii,Castilleja bradburii,1.0,1.0,False
Casuarina horrida,Casuarina horrida,1.0,1.0,False
Cattleya mooreana,Cattleya mooreana,1.0,1.0,False
Ceanothus prostatus,Ceanothus prostratus,1.0,0.983333333333,False
Celastrus albatus,Celastrus alatus,1.0,0.961904761905,False
Celastrus polyacanthus,Celastrus polyacanthus,1.0,1.0,False
