"gbif","tank","genus_jw","se_jw","gswitch","bothtpl","suspect","remove","manual.remove"
"Abronia villosa","Abronia villosa",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Abrophyllum ornans","Abrophyllum ornans",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Abrotanella emarginata","Abrotanella emarginata",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Abrotanella forsterioides","Abrotanella forsteroides",1,0.983974358974,"False",FALSE,FALSE,FALSE,FALSE
"Abrotanella forsteroides","Abrotanella forsteroides",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Abrotanella inconspicua","Abrotanella inconspicua",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Abrotanella linearis","Abrotanella linearis",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Abrotanella nivigena","Abrotanella nivigena",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Abrus fruticulosus","Abrus fruticulosus",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Abrus madagascariensis","Abrus madagascariensis",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Abrus precatorius","Abrus precatorius",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Abrus pulchellus","Abrus pulchellus",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Abuta candollei","Abuta candollei",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Abuta convexa","Abuta convexa",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Abuta grandifolia","Abuta grandifolia",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Abuta grisebachii","Abuta grisebachii",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Abuta manaosensis","Abuta manausensis",1,0.963636363636,"False",FALSE,FALSE,FALSE,FALSE
"Abuta manauensis","Abuta manausensis",1,0.943181818182,"False",FALSE,TRUE,FALSE,FALSE
"Abuta rufescens","Abuta rufescens",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Abutilon abutilon","Abutilon abutilon",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Abutilon albidum","Abutilon albidum",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Abutilon album","Abutilon album",1,1,"False",FALSE,FALSE,FALSE,FALSE
