Scaevola macrocalyx
Callaeum septentrionale
Chenopodium pinnatum
Heliamphora nutans
Patrisia chocoensis
Arabis barbarea
Gleditsia amorphoides
Coelogyne rhabdobulbon
Schoenocephalium cucullatum
Parahebe perfoliata
Asarum hayatanum
Cedrela yucatana
Eryngium tricuspidatum
Corchorus caryophylloides
Origanum webbianum
Epilobium mirei
Malus tschonoskii
Echites glandulosus
Litsea monticola
Laurus coerulea
Capsella rubella
Gossypium rufum
Lagenophora strangulata
Paspalum virgatum
Luffa operculata
Doodia caudata
Sium vulgare
Cucurbita maxima
Boenninghausenia japonica
Gomphandra javanica
Vicia lathyroides
Erodium maritimum
Ficus reticulata
Akebia quinata
Lupinus polyphyllus
Sporadanthus traversii
Dierbachia lyciodes
Cuscuta approximata
Dryopteris oligophlebia
Helianthemum macranthum
Freziera calophylla
Hylotelephium argutum
Stylosanthes montevidensis
Ludwigia trifoliata
Tephrosia heckmanniana
Capsella laxa
Bignonia haemantha
Echites antidysentericus
Clidemia septuplinervia
Helianthemum semistipulatum
Ulmus rotundifolia
Cratoxylum polyanthum
Geophila macropoda
Abelmoschus acuminatus
Citrus pyriformis
Pteris comans
Melissa granatensis
Isachne albens
Retinispora andelyensis
Piper nummularifolium
Palmorchis trilobulata
Satyrium elongatum
Gordonia tagawae
Rauvolfia tomentosa
Tricholepidium normale
Crassula subbifaria
Penstemon albidus
Aeonium virgineum
Dalechampia galpinii
Trichilia peruviana
Zelkova acuminata
Maxillaria gracilipes
Lithocardium riparium
Veronica cuneata
Juniperus cinerascens
Schoenus longus
Ornitrophe borbonica
Guatteria elegantissima
Metaporana parvifolia
Arabidella filifolia
Androsace vandellii
Triglochin bulbosa
Erythronium caucasicum
Crucifera pyrenaica
Spathodea longiflora
Tussilago farfara
Noaea mucronata
Carex gigantea
Dracophyllum featonianum
Dianthus tataricus
Camellia longzhouensis
Firmiana simplex
Diospyros kuroiwai
Abies kawakamii
Rytigynia uhligii
Glia prolifera
Juncodes chilense
Thalictrum lucidum
Pinus coulteri
Thymus syrticus
Polycarpon floribundum
Solanoides undulata
Ceanothus palmeri
Rhigiocarya nervosa
Paraserianthes toona
Christensonella pachyphylla
Ficus fraseri
Microcoelia smithii
Aphanamixis amboinensis
Gorgonidium striatum
Delphinium lineapetalum
Hydrangea durifolia
Barleria hexacantha
Drimia elata
Hedysarum hedysaroides
Acer trilobum
Nageia laeta
Rauvolfia odontophora
Cyperus glaber
Oncerum rupestre
Cissampelos pareiroides
Oxyanthus speciosus
Otopappus hirsutus
Actaea aspleniifolia
Erythronium idahoense
Ribes rotundifolium
Wikstroemia viridiflora
Filicium elongatum
Salix borreri
Toxicodendron trichocarpum
Telfairia occidentalis
Haploclathra cordata
Tarachia yoshinagae
Gladiolus ornatus
Silene tenuiflora
Cornus drummondii
Asplenium protensum
Dicrastylis reticulata
Caprificus rugosa
Sassafras loureiroi
Carapa gummiflua
Sisymbrium longesiliquosum
Clerodendrum thomsoniae
Semecarpus australiensis
Glaziova bauhinioides
Astragalus coccineus
Eschweilera simplex
Aglaia schumanniana
Tinus polysticta
Corion marinum
Fevillea uncipetala
Chryseis douglasii
Physalis foetens
Foeniculum divaricatum
Hypericum subquadrangulare
Hypericum roeperianum
Blainvillea dallo-vedovae
Cervantesia bicolor
Gratiola pulegiifolia
Dalbergia pinnata
Gardneria shimadai
Pterocarya sprengeri
Empogona acidophylla
Adonis barthei
Pitcairnia wendlandii
Calochortus elegans
Neuontobotrys tarapacana
Androsace glacialis
Rhodophiala montana
Ptilimnium capillaceum
Valerianella dentata
Takhtajania perrieri
Gentiana araucana
Persea laevigata
Bourreria pauciflora
Rocama digyna
Phacelia divaricata
Draba stylosa
Schisandra nigra
Restio subverticillatus
Prunus javanica
Salvia divinorum
Bolandra oregana
Altoparadisium chapadense
Wyethia foliosa
Cymbidium eburneum
Chamorchis alpina
Cardamine hastulata
Panzeria multifida
Campanula spicata
Dianthus gramineus
Osmanthus bibracteatus
Primula acaulis
Salvia saccata
Gazania krebsiana
Hebecladus sinuosus
Asplenium flaccidum
Alsine linnaei
Justicia nervosa
Brosimum paraense
Antidesma alexiteria
Cameraria havanensis
Buceras catappa
Primula menziesiana
Cordia volubilis
Ericameria arborescens
Melissa tragi
Trigonella calliceras
Ardisia multicaulis
Protomegabaria stapfiana
Potamogeton purshii
Wikstroemia subcoriacea
Citrus lumia
Rosa canina
Hippocratea lonchophylla
Paradrymonia densa
Neoraimondia macrostibas
Carex tenuiflora
Aconitum napelloides
Pityrogramma calomelanos
Heckeldora angustifolia
Capsella oviculata
Liatris squarrulosa
Lagerstroemia elegans
Salix eriantha
Asplenium theciferum
Ammi pauciradiatum
Euodia colorata
Linociera flavicans
Mayaca fluviatilis
Cryptocentrum pseudobulbosum
Odontella volkensii
Indigofera hilaris
Evaiezoa exarata
Dryopteris doiana
Gymnosporia grossularia
Lantana trifolia
Ficaria ambigua
Salvia acetabulosa
Crataegus columbiana
Plectronia reygaerti
Margaritaria rhomboidalis
Diospyros faucium
Anthriscus dissectus
Brassica bursipastorifolia
Schoenus brevifolius
Teucrium tomentosum
Engelhardtia selanica
Rapanea paulensis
Ornus corymbosa
Ficus mallotocarpa
Leucocnide angustata
Chaerophyllum trapezuntinum
Drosera capillaris
Pleurothyrium cowaniana
Polygonum limbatum
Tropaeolum aduncum
Bryonia epigaea
Cantua buxifolia
Ocotea caryophyllacea
Commiphora subsessilifolia
Spergularia salina
Berberis barilochensis
Elephantomene eburnea
Ficus toxica
Salvia silvestris
Mentha obtuso-dentata
Cinnamomum corzoanum
Piper fagopyricarpum
Canarium schweinfurtii
Tricalysia cryptocalyx
Peristeria elata
Bilderdykia dentato-alata
Peponium dissectum
Aristida herbacea
Avicularia maritima
Capuronianthus mahafalensis
Ailanthus peekelii
Begonia rubicunda
Trillium maculatum
Tetragonia dimorphantha
Gentiana diemensis
Solanum undatum
Nomocharis farreri
Paeonia multifida
Prunella rosea
Acacia wanyu
Ophrys bombyliflora
Pappophorum philippianum
Impatiens glanduligera
Neriandra havanensis
Polanisia uniglandulosa
Arundinaria graminea
Diospyros chaffanjonii
Cotyledon campanulata
Allamanda aubletii
Gentianusa utriculosa
Cornus gracilis
Ficus racemigera
Piper ornatispicum
Prestoea pubens
Leitneria floridana
Blepharaden perennis
Gentiana lancifolia
Melo sativus
Tetrapteris schiedeana
Pachypodium rosulatum
Virgilia oroboides
Leionema equestre
Flueggea gracilis
Hieracium scapigerum
Vaccaria hispanica
Villarsia humboldtiana
Stachys glabriflora
